Emp_no,Employee_Number,Attrition,Business_Travel,Age,CF_age_band,CF_attrition_label,Department,Education_Field,Gender,Job_Role,Marital_Status,Over_Time,Over18,Training_Times_Last_Year,CF_current_Employee,Distance_From_Home,Education_level,Environment_Satisfaction,Daily_Rate,Hourly_Rate,Job_Involvement,Job_Level,Job_Satisfaction,Monthly_Income,Monthly_Rate,Num_Companies_Worked,Percent_Salary_Hike,Performance_Rating,Relationship_Satisfaction,Standard_Hours,Standard_Hours2,Stock_Option_Level,Total_Working_Years,Work_Life_Balance,Years_At_Company,Years_In_Current_Role,Years_Since_Last_Promotion,Years_With_Curr_Manager
STAFF-60,60,No,No,34,25 - 34,Current Employees,Sales,Marketing,Male,Sales Executive,Single,No,Y,2,1,23,Master's Degree,2,1065,72,3,2,3,4568,10034,0,20,4,3,65,42,0,10,3,9,5,8,7
STAFF-61,61,No,Rarely,37,35 - 44,Current Employees,R&D,Life Sciences,Male,Research Scientist,Married,No,Y,1,1,19,Associates Degree,2,408,73,3,1,2,3022,10227,4,21,4,1,65,81,0,8,3,1,0,0,0
STAFF-62,62,No,Frequently,46,45 - 54,Current Employees,Sales,Marketing,Male,Sales Executive,Single,Yes,Y,4,1,5,Master's Degree,1,1211,98,3,2,4,5772,20445,4,21,4,3,80,50,0,14,3,9,6,0,8
STAFF-63,63,No,Rarely,35,35 - 44,Current Employees,R&D,Life Sciences,Male,Laboratory Technician,Married,No,Y,2,1,8,High School,4,1229,36,4,1,4,2269,4892,1,19,3,4,50,74,0,1,3,1,0,0,1
STAFF-64,64,Yes,Rarely,48,45 - 54,Ex-Employees,R&D,Life Sciences,Male,Laboratory Technician,Single,Yes,Y,2,0,1,Associates Degree,1,626,98,2,3,3,5381,19294,9,13,3,4,55,51,0,23,3,1,0,0,0
STAFF-65,65,Yes,Rarely,28,25 - 34,Ex-Employees,R&D,Technical Degree,Male,Laboratory Technician,Single,Yes,Y,3,0,5,Master's Degree,3,1434,50,3,1,3,3441,11179,1,13,3,3,55,67,0,2,2,2,2,2,2
STAFF-68,68,No,Rarely,44,35 - 44,Current Employees,Sales,Marketing,Female,Sales Executive,Divorced,Yes,Y,2,1,1,Doctoral Degree,2,1488,75,3,2,1,5454,4009,5,21,4,3,65,86,1,9,2,4,3,1,3
STAFF-70,70,No,No,35,35 - 44,Current Employees,R&D,Medical,Male,Healthcare Representative,Married,Yes,Y,3,1,11,Associates Degree,3,1097,79,2,3,1,9884,8302,2,13,3,3,65,60,1,10,3,4,0,2,3
STAFF-72,72,No,Rarely,26,25 - 34,Current Employees,Sales,Marketing,Female,Sales Executive,Married,Yes,Y,2,1,23,Bachelor's Degree,3,1443,47,2,2,4,4157,21436,7,19,3,3,55,33,1,5,2,2,2,0,0
STAFF-73,73,No,Frequently,33,25 - 34,Current Employees,R&D,Life Sciences,Female,Research Director,Single,Yes,Y,1,1,1,Associates Degree,1,515,98,3,3,4,13458,15146,1,12,3,3,75,42,0,15,3,15,14,8,12
STAFF-74,74,No,Frequently,35,35 - 44,Current Employees,Sales,Life Sciences,Male,Sales Executive,Married,No,Y,3,1,18,Doctoral Degree,2,853,71,3,3,1,9069,11031,1,22,4,4,55,61,1,9,2,9,8,1,8
STAFF-75,75,No,Rarely,35,35 - 44,Current Employees,R&D,Medical,Female,Laboratory Technician,Married,Yes,Y,3,1,23,Master's Degree,3,1142,30,3,1,1,4014,16002,3,15,3,3,65,43,1,4,3,2,2,2,2
STAFF-76,76,No,Rarely,31,25 - 34,Current Employees,R&D,Life Sciences,Male,Laboratory Technician,Divorced,No,Y,3,1,7,Master's Degree,4,655,48,3,2,4,5915,9528,3,22,4,4,75,87,1,10,2,7,7,1,7
STAFF-77,77,No,Rarely,37,35 - 44,Current Employees,R&D,Life Sciences,Male,Manufacturing Director,Divorced,No,Y,2,1,1,Master's Degree,1,1115,51,2,2,3,5993,2689,1,18,3,3,50,75,1,7,4,7,5,0,7
STAFF-78,78,No,Rarely,32,25 - 34,Current Employees,R&D,Medical,Male,Manufacturing Director,Married,Yes,Y,3,1,1,Bachelor's Degree,1,427,33,3,2,4,6162,10877,1,22,4,2,60,35,1,9,3,9,8,7,8
STAFF-79,79,No,Frequently,38,35 - 44,Current Employees,R&D,Life Sciences,Female,Laboratory Technician,Single,No,Y,2,1,29,Doctoral Degree,4,653,50,3,2,4,2406,5456,1,11,3,4,60,70,0,10,3,10,3,9,9
STAFF-80,80,No,Rarely,50,45 - 54,Current Employees,R&D,Medical,Female,Research Director,Divorced,Yes,Y,2,1,7,Associates Degree,2,989,43,2,5,3,18740,16701,5,12,3,4,85,42,1,29,2,27,3,13,8
STAFF-81,81,No,Rarely,59,Over 55,Current Employees,Sales,Life Sciences,Female,Sales Executive,Single,No,Y,3,1,25,Bachelor's Degree,1,1435,99,3,3,1,7637,2354,7,11,3,4,65,84,0,28,2,21,16,7,9
STAFF-83,83,No,Rarely,36,35 - 44,Current Employees,R&D,Technical Degree,Female,Healthcare Representative,Divorced,No,Y,2,1,8,Bachelor's Degree,3,1223,59,3,3,3,10096,8202,1,13,3,2,65,77,3,17,3,17,14,12,8
STAFF-84,84,No,Rarely,55,Over 55,Current Employees,R&D,Medical,Female,Manager,Divorced,Yes,Y,2,1,8,Bachelor's Degree,4,836,33,3,4,3,14756,19730,2,14,3,3,60,48,3,21,3,5,0,0,2
STAFF-85,85,No,Frequently,36,35 - 44,Current Employees,R&D,Life Sciences,Male,Manufacturing Director,Single,No,Y,3,1,11,Bachelor's Degree,2,1195,95,2,2,2,6499,22656,1,13,3,3,80,60,0,6,3,6,5,0,3
STAFF-86,86,No,Rarely,45,45 - 54,Current Employees,R&D,Life Sciences,Male,Research Scientist,Divorced,No,Y,2,1,7,Bachelor's Degree,2,1339,59,3,3,1,9724,18787,2,17,3,3,60,76,1,25,3,1,0,0,0
STAFF-88,88,No,Frequently,35,35 - 44,Current Employees,R&D,Medical,Male,Research Scientist,Married,No,Y,2,1,1,Bachelor's Degree,2,664,79,3,1,1,2194,5868,4,13,3,4,55,71,1,5,2,3,2,1,2
STAFF-90,90,Yes,Rarely,36,35 - 44,Ex-Employees,R&D,Medical,Male,Research Scientist,Married,Yes,Y,0,0,9,Bachelor's Degree,4,318,79,2,1,3,3388,21777,0,17,3,1,85,48,1,2,2,1,0,0,0
STAFF-91,91,No,Frequently,59,Over 55,Current Employees,Sales,Life Sciences,Female,Sales Executive,Single,No,Y,2,1,1,High School,1,1225,57,2,2,3,5473,24668,7,11,3,4,85,50,0,20,2,4,3,1,3
STAFF-94,94,No,Rarely,29,25 - 34,Current Employees,R&D,Life Sciences,Male,Research Scientist,Married,No,Y,3,1,2,Bachelor's Degree,3,1328,76,3,1,2,2703,4956,0,23,4,4,70,48,1,6,3,5,4,0,4
STAFF-95,95,No,Rarely,31,25 - 34,Current Employees,R&D,Medical,Male,Research Scientist,Single,No,Y,4,1,1,Master's Degree,3,1082,87,3,1,2,2501,18775,1,17,3,2,55,87,0,1,3,1,1,1,0
STAFF-96,96,No,Rarely,32,25 - 34,Current Employees,R&D,Life Sciences,Male,Research Scientist,Married,No,Y,3,1,1,Bachelor's Degree,2,548,66,3,2,2,6220,7346,1,17,3,2,65,45,2,10,3,10,4,0,9
STAFF-97,97,No,Rarely,36,35 - 44,Current Employees,R&D,Life Sciences,Female,Laboratory Technician,Married,No,Y,3,1,6,Bachelor's Degree,2,132,55,4,1,4,3038,22002,3,12,3,2,85,85,0,5,3,1,0,0,0
STAFF-98,98,No,Rarely,31,25 - 34,Current Employees,R&D,Life Sciences,Female,Manufacturing Director,Single,No,Y,2,1,8,Master's Degree,3,746,61,3,2,4,4424,20682,1,23,4,4,55,62,0,11,3,11,7,1,8
STAFF-100,100,No,Rarely,35,35 - 44,Current Employees,Sales,Marketing,Male,Sales Executive,Single,No,Y,2,1,1,Master's Degree,3,776,32,2,2,1,4312,23016,0,14,3,2,65,46,0,16,3,15,13,2,8
STAFF-101,101,No,Rarely,45,45 - 54,Current Employees,R&D,Other,Male,Research Director,Married,Yes,Y,3,1,6,Master's Degree,4,193,52,3,3,1,13245,15067,4,14,3,2,60,62,0,17,4,0,0,0,0
STAFF-102,102,No,Rarely,37,35 - 44,Current Employees,R&D,Medical,Male,Research Director,Single,No,Y,3,1,7,Master's Degree,1,397,30,3,3,3,13664,25258,4,13,3,1,75,36,0,16,4,5,2,0,2
STAFF-103,103,No,Rarely,46,45 - 54,Current Employees,HR,Medical,Male,Human Resources,Divorced,Yes,Y,2,1,5,Associates Degree,2,945,80,3,2,2,5021,10425,8,22,4,4,65,31,1,16,3,4,2,0,2
STAFF-104,104,No,Rarely,30,25 - 34,Current Employees,R&D,Life Sciences,Male,Laboratory Technician,Married,Yes,Y,1,1,1,High School,4,852,55,2,2,4,5126,15998,1,12,3,3,70,57,2,10,2,10,8,3,0
STAFF-105,105,No,Rarely,35,35 - 44,Current Employees,R&D,Medical,Male,Research Scientist,Single,No,Y,3,1,1,Bachelor's Degree,2,1214,30,2,1,3,2859,26278,1,18,3,1,85,85,0,6,3,6,4,0,4
STAFF-106,106,No,Rarely,55,Over 55,Current Employees,Sales,Life Sciences,Male,Sales Executive,Married,No,Y,4,1,1,Associates Degree,1,111,70,3,3,4,10239,18092,3,14,3,4,55,70,1,24,3,1,0,1,0
STAFF-107,107,No,No,38,35 - 44,Current Employees,R&D,Medical,Female,Research Scientist,Divorced,Yes,Y,3,1,6,Bachelor's Degree,2,573,79,1,2,4,5329,15717,7,12,3,4,65,89,3,17,3,13,11,1,9
STAFF-110,110,No,Rarely,34,25 - 34,Current Employees,R&D,Medical,Male,Manufacturing Director,Married,No,Y,2,1,1,Associates Degree,1,1153,94,3,2,2,4325,17736,1,15,3,3,55,52,0,5,3,5,2,1,3
STAFF-112,112,No,Rarely,56,Over 55,Current Employees,R&D,Life Sciences,Male,Manufacturing Director,Single,No,Y,3,1,7,Bachelor's Degree,4,1400,49,1,3,4,7260,21698,4,11,3,1,75,50,0,37,2,6,4,0,2
STAFF-113,113,No,Rarely,23,Under 25,Current Employees,Sales,Technical Degree,Male,Sales Representative,Divorced,No,Y,3,1,2,High School,3,541,62,3,1,1,2322,9518,3,13,3,3,65,31,1,3,3,0,0,0,0
STAFF-116,116,No,Rarely,51,45 - 54,Current Employees,R&D,Life Sciences,Male,Laboratory Technician,Married,No,Y,4,1,9,Master's Degree,4,432,96,3,1,4,2075,18725,3,23,4,2,65,61,2,10,3,4,2,0,3
STAFF-117,117,No,Rarely,30,25 - 34,Current Employees,R&D,Life Sciences,Male,Healthcare Representative,Married,No,Y,3,1,2,Bachelor's Degree,3,288,99,2,2,4,4152,15830,1,19,3,1,85,43,3,11,3,11,10,10,8
STAFF-118,118,Yes,Rarely,46,45 - 54,Ex-Employees,Sales,Medical,Male,Sales Executive,Single,No,Y,3,0,9,Associates Degree,3,669,64,2,3,4,9619,13596,1,16,3,4,75,59,0,9,3,9,8,4,7
STAFF-119,119,No,Frequently,40,35 - 44,Current Employees,R&D,Life Sciences,Male,Healthcare Representative,Married,No,Y,3,1,1,Master's Degree,3,530,78,2,4,2,13503,14115,1,22,4,4,85,48,1,22,2,22,3,11,11
STAFF-120,120,No,Rarely,51,45 - 54,Current Employees,Sales,Marketing,Male,Sales Executive,Single,Yes,Y,2,1,21,Master's Degree,3,632,71,3,2,4,5441,8423,0,22,4,4,55,82,0,11,1,10,7,1,0
STAFF-121,121,No,Rarely,30,25 - 34,Current Employees,Sales,Medical,Female,Sales Executive,Divorced,Yes,Y,4,1,4,Associates Degree,3,1334,63,2,2,2,5209,19760,1,12,3,2,65,87,3,11,2,11,8,2,7
STAFF-124,124,No,Frequently,46,45 - 54,Current Employees,R&D,Medical,Male,Healthcare Representative,Married,Yes,Y,5,1,1,Bachelor's Degree,3,638,40,2,3,1,10673,3142,2,13,3,3,85,75,1,21,2,10,9,9,5
STAFF-125,125,No,Rarely,32,25 - 34,Current Employees,Sales,Medical,Male,Sales Executive,Single,No,Y,0,1,6,Master's Degree,2,1093,87,3,2,3,5010,24301,1,16,3,1,55,72,0,12,3,11,8,5,7
STAFF-126,126,No,Rarely,54,45 - 54,Current Employees,R&D,Technical Degree,Female,Research Director,Married,No,Y,5,1,2,Master's Degree,1,1217,60,3,3,3,13549,24001,9,12,3,1,70,40,1,16,1,4,3,0,3
STAFF-128,128,No,Rarely,24,Under 25,Current Employees,Sales,Other,Female,Sales Executive,Married,No,Y,2,1,3,Associates Degree,1,1353,33,3,2,3,4999,17519,0,21,4,1,80,78,1,4,2,3,2,0,2
STAFF-129,129,No,No,28,25 - 34,Current Employees,Sales,Medical,Male,Sales Executive,Married,No,Y,3,1,4,Bachelor's Degree,2,120,43,3,2,3,4221,8863,1,15,3,2,70,61,0,5,4,5,4,0,4
STAFF-131,131,No,Rarely,58,Over 55,Current Employees,Sales,Medical,Male,Sales Executive,Single,No,Y,1,1,10,Master's Degree,4,682,37,3,4,3,13872,24409,0,13,3,3,65,50,0,38,2,37,10,1,8
STAFF-132,132,No,No,44,35 - 44,Current Employees,R&D,Medical,Male,Laboratory Technician,Married,No,Y,3,1,23,Bachelor's Degree,2,489,67,3,2,2,2042,25043,4,12,3,3,60,65,1,17,4,3,2,1,2
STAFF-133,133,Yes,Rarely,37,35 - 44,Ex-Employees,HR,Human Resources,Male,Human Resources,Divorced,Yes,Y,3,0,6,Master's Degree,3,807,63,3,1,1,2073,23648,4,22,4,4,55,86,0,7,3,3,2,0,2
STAFF-134,134,No,Rarely,32,25 - 34,Current Employees,R&D,Life Sciences,Male,Research Scientist,Single,No,Y,2,1,1,High School,4,827,71,3,1,1,2956,15178,1,13,3,4,75,43,0,1,3,1,0,0,0
STAFF-137,137,Yes,Frequently,20,Under 25,Ex-Employees,R&D,Life Sciences,Female,Laboratory Technician,Single,Yes,Y,5,0,6,Bachelor's Degree,4,871,66,2,1,4,2926,19783,1,18,3,2,70,43,0,1,3,1,0,1,0
STAFF-138,138,No,Rarely,34,25 - 34,Current Employees,R&D,Other,Female,Research Scientist,Single,No,Y,3,1,6,Master's Degree,1,665,41,3,2,3,4809,12482,1,14,3,3,80,35,0,16,3,16,13,2,10
STAFF-139,139,No,No,37,35 - 44,Current Employees,R&D,Life Sciences,Male,Healthcare Representative,Divorced,No,Y,2,1,2,Associates Degree,3,1040,100,2,2,4,5163,15850,5,14,3,4,80,56,1,17,4,1,0,0,0
STAFF-140,140,No,No,59,Over 55,Current Employees,HR,Human Resources,Female,Manager,Married,No,Y,3,1,2,Master's Degree,3,1420,32,2,5,4,18844,21922,9,21,4,4,70,89,1,30,3,3,2,2,2
STAFF-141,141,No,Frequently,50,45 - 54,Current Employees,R&D,Life Sciences,Female,Research Director,Married,Yes,Y,1,1,1,Bachelor's Degree,1,1115,73,3,5,2,18172,9755,3,19,3,1,80,42,0,28,2,8,3,0,7
STAFF-142,142,Yes,Rarely,25,25 - 34,Ex-Employees,Sales,Marketing,Male,Sales Executive,Single,Yes,Y,1,0,5,Bachelor's Degree,3,240,46,2,2,3,5744,26959,1,11,3,4,65,75,0,6,3,6,4,0,3
STAFF-143,143,No,Rarely,25,25 - 34,Current Employees,R&D,Medical,Male,Research Scientist,Married,No,Y,2,1,7,High School,4,1280,64,2,1,4,2889,26897,1,11,3,3,50,30,2,2,3,2,2,2,1
STAFF-144,144,No,Rarely,22,Under 25,Current Employees,R&D,Medical,Female,Laboratory Technician,Single,No,Y,5,1,15,Bachelor's Degree,2,534,59,3,1,4,2871,23785,1,15,3,3,80,46,0,1,3,0,0,0,0
STAFF-145,145,No,Frequently,51,45 - 54,Current Employees,R&D,Medical,Female,Healthcare Representative,Single,No,Y,1,1,1,Master's Degree,1,1456,30,2,3,1,7484,25796,3,20,4,3,50,77,0,23,2,13,12,12,8
STAFF-147,147,Yes,Frequently,34,25 - 34,Ex-Employees,R&D,Life Sciences,Male,Laboratory Technician,Single,Yes,Y,3,0,7,Bachelor's Degree,1,658,66,1,2,3,6074,22887,1,24,4,4,75,52,0,9,3,9,7,0,6
STAFF-148,148,No,No,54,45 - 54,Current Employees,HR,Human Resources,Female,Manager,Single,Yes,Y,3,1,26,Bachelor's Degree,4,142,30,4,4,4,17328,13871,2,12,3,3,70,66,0,23,3,5,3,4,4
